"city","state","count"
"Riviera Beach","FL",3
"Roanoke","VA",44
"Roanoke Rapids","NC",5
"Rochester","MI",15
"Rochester","MN",30
"Rochester","NY",294
"Rochester","PA",8
"Rock Island","IL",74
"Rock Springs","WY",6
"Rockaway","NY",3
"Rockbridge","OH",8
"Rockford","IL",70
"Rockland Lake","NY",2
"Rockville","MD",3
"Rogers","AR",2
"Roman","MT",1
"Rome","NY",11
"Ronan","MT",7
"Roseburg","OR",5
"Rosedale","MN",2
"Roselle","NJ",2
"Rosendale","NY",1
"Roslyn","NY",2
"Roswell","NM",4
"Running Springs","CA",7
"Russian RIver","CA",2
"Russian River","CA",37
"Russian River ","CA",15
"Ruston","LA",10
"Rutland","VT",21
"S. Daytona Beach","FL",1
"Sacramento","CA",168
"Sacramento ","CA",188
"Sagatuck","MI",1
"Saginaw","MI",37
"Saint Mary's","OH",2
"Saint Marys","OH",2
"Salem","MA",4
"Salem","NH",2
"Salem","OR",45
"Salina","KS",11
"Salinas","CA",24
"Salisbury","MD",4
"Salt Lake City","UT",214
"San Angelo","TX",5
"San Antonio","TX",383
"San Bernardino","CA",84
"San Carlos","CA",3
"San Clemente","CA",18
"San Diego","CA",736
"San Francisco","CA",3219
"San Gabriel","CA",5
"San Jose","CA",191
"San Juan","PR",246
"San Leandro","CA",2
"San Luis Obispo","CA",41
"San Mateo","CA",12
"San Pedro","CA",1
"San Rafael","CA",37
"Sand Point","ID",2
"Sandusky","OH",6
"Sandwich","MA",1
"Santa Ana","CA",11
"Santa Barbara","CA",160
"Santa Clara","CA",18
"Santa Cruz","CA",70
"Santa Fe","NM",75
"Santa Maria","CA",7
"Santa Maria ","CA",7
"Santa Monica","CA",142
"Santa Rosa","CA",13
"Santa Rosa ","CA",12
"Santurce","PR",5
"Saranac Lake","NY",5
"Sarasota","FL",84
"Saugatuck","MI",88
"Sault Ste. Marie","MI",11
"Sausalito","CA",30
"Savannah","GA",142
"Savannah Beach","GA",38
"Sayreville","NJ",1
"Sayville","NY",38
"Scarsdale","NY",1
"Schenectady","NY",29
"Schenley","PA",4
"Scottsdale","AZ",19
"Scranton","PA",48
"Seaford","NY",5
"Seal Beach","CA",1
"Seaside","OR",14
"Seattle","WA",770
"Sedona","AZ",13
"Seekonk","MA",5
"Seldon","NY",3
"Sewanee","TN",1
"Shaker Heights","OH",6
"Shamokin Dam","PA",1
"Sharon","PA",7
"Shawano Lake","WI",9
"Shawnee-on-the-Delaware","PA",1
"Sheboygan","WI",18
"Shelby","NC",1
"Sherman Oaks","CA",64
"Shreveport","LA",91
"Sierra Vista","AZ",4
"Silver Lake","CA",64
"Silver Lake","MD",1
"Silver Springs","MD",3
"Silverlake","CA",38
"Sioux City","IA",12
"Sioux Falls","SD",50
"Slidell","LA",4
"Smithfield","RI",8
"Somerville","MA",6
"Sonoma","CA",14
"South Beach","NY",1
"South Bend","IN",96
"South China","ME",1
"South Chino","ME",3
"South El Monte","CA",7
"South Fallsburg","NY",1
"South Hampton","NY",1
"South Haven","MI",2
"South Padre Island","TX",17
"South River","NJ",6
"South Sacramento","CA",1
"South San Gabriel","CA",3
"South San Gabriel ","CA",6
"Southampton","NY",1
"Southboro","MA",1
"Southfield","MI",6
"Southington","CT",2
"Spanish Fork Canyon","UT",1
"Spanish Fort Canyon","UT",1
"Sparkill","NY",1
"Sparks","NV",4
"Spartanburg","SC",11
"Spokane","WA",145
"Springfield","IL",98
"Springfield","MA",135
"Springfield","MO",37
"Springfield","OH",46
"Springfield","VA",4
"Springfield","VT",9
"Spruce Pine","NC",4
"Squaw Valley","CA",1
"St. Augustine","FL",11
"St. Claire","OH",1
"St. Cloud","MN",16
"St. James","NY",1
"St. Joseph","MO",54
"St. Louis","MO",452
"St. Paul","MN",85
"St. Petersburg","FL",140
"St. Petersburg Beach","FL",2
"St. Simons Island","GA",4
"Stamford","CT",12
"Stapleton","NY",1
"State College","PA",29
"State College ","PA",24
"Stateline","NV",1
"Staten Island","NY",27
"Steubenville","OH",27
"Stickney","IL",3
"Stillwater","OK",12
"Stockbridge","MA",26
"Stockton","CA",59
"Stoneham","MA",6
"Stoy","IL",3
"Stroudsburg","PA",14
"Stuart","FL",3
"Studio City","CA",229
"Suffern","NY",2
"Summers","GA",1
"Sun Valley","ID",7
"Sunapee","NH",2
"Sunbury","PA",1
"Sunland","CA",1
"Sunnyside","NY",2
"Sunnyvale","CA",4
"Sunrise Beach","MO",3
"Sunset Beach","CA",14
"Superior","WI",28
"Sussex","NJ",1
"Swansea","MA",6
"Sweetwater","TX",6
"Syosset","NY",4
"Syracuse","NY",194
"Tacoma","WA",112
"Tahoe Vista","CA",1
"Talequah","OK",8
"Tallahassee","FL",71
"Tampa","FL",267
"Tannersville","PA",11
"Tarzana","CA",5
"Taunton","MA",1
"Telluride","CO",4
"Tempe","AZ",59
"Temple","TX",1
"Temple- Killeen","TX",2
"Terre Haute","IN",53
"Texarcana","AR",10
"Texarkana","AR",6
"Texarkana","TX",6
"Thackerville","OK",1
"The Hamptons","NY",36
"Tijuana","CA",10
"Tijuana","Mexico",1
"Titusville","FL",6
"Toledo","OH",208
"Toltec","AZ",5
"Tombstone","AZ",4
"Topanga Canyon","CA",2
"Topeka","KS",72
"Torrance","CA",8
"Towson","MD",7
"Traverse City","MI",23
"Treasure Island","FL",1
"Trenton","NJ",70
"Troy","MI",46
"Troy","NY",11
"Truckee","CA",3
"Trumbull","CT",2
"Tucson","AZ",247
"Tujunga","CA",1
"Tukwila","WA",1
"Tulsa","OK",269
"Tumon Bay","GU",28
"Tumon Bay","HI",2
"Tupelo","MS",30
"Tupper Lake","NY",5
"Tuscaloosa","AL",76
"Tuscon","AZ",45
"Twin Falls","ID",2
"Tyler","TX",12
"Tyngsboro","MA",13
"Tysons Corner","VA",4
"Ukiah","CA",5
"Union City","NJ",13
"Upland","CA",4
"Upper Nyack","NY",1
"Upton","MA",1
"Uptown","NY",320
"Uptown- N.Y.C.","NY",15
"Urbana","IL",5
"Utica","NY",61
"Uxbridge","MA",5
"Vail","CO",16
"Valdosta","GA",2
"Valhalla","NY",3
"Vallejo","CA",9
"Valley","CA",43
"Valparaiso","IN",6
"Van Nuys","CA",58
"Vancouver","WA",1
"Venice","CA",49
"Ventura","CA",28
"Vero Beach","FL",1
"Vicksberg","MS",5
"Vicksburg","MS",16
"Victoria","TX",11
"Victorville","CA",2
"Villa Park","IL",1
"Vincennes","IN",13
"Vinton","LA",1
"Virginia Beach","VA",18
"Visalia","CA",1
"Vista","CA",2
"W. Hartford","CT",1
"Waco","TX",83
"Waikiki","HI",107
"Waikiki Beach","HI",59
"Waikiki Beach, Oahu","HI",143
"Wailuku","HI",3
"Wailuku, Maui","HI",2
"Wakarusa","KS",8
"Walla Walla","WA",14
"Wallington","NJ",2
"Walnut Creek","CA",13
"Walpole","NH",2
"Walton","KS",8
"Wanatah","IN",1
"Wantagh","NY",11
"Ware","MA",7
"Warren","OH",45
"Warren","VT",4
"Warwick","RI",4
"Washington","D.C.",152
"Washington","DC",195
"Washington","District of Columbia",534
"Washington","NJ",2
"Washingtonville","NY",3
"Waterbury","CT",26
"Waterloo","IA",45
"Watermill","NY",3
"Watertown","NY",12
"Waterville","ME",4
"Waukegan","IL",33
"Wausau","WI",13
"Wayne","NJ",2
"Wells","ME",2
"West Babylon","NY",8
"West Covina","CA",3
"West Hempstead","NY",8
"West Hollywood","CA",71
"West Islip","NY",1
"West Lebanon","NH",6
"West Los Angeles","CA",16
"West New York","NJ",4
"West Palm Beach","FL",124
"West Park","NY",2
"West Sacramento","CA",6
"Westchester County","NY",1
"Weston","MA",1
"Westpark","NY",1
"Westport","CT",33
"Westtown","NY",6
"Weymouth","MA",6
"Wheatfield","NY",1
"Wheaton","MD",2
"Wheeling","WV",34
"White Pine","TN",1
"White Plains","NY",15
"White River Junction","VT",6
"Wichita","KS",111
"Wichita Falls","TX",73
"Wilcox","AZ",4
"Wiliston","VT",1
"Wilkes-Barre","PA",30
"Willcox","AZ",1
"Williamsburg","VA",11
"Williamsport","PA",15
"Williamstown","MA",11
"Willimantic","CT",1
"Willimsburg","VA",2
"Willis","TX",2
"Wilmington","CA",12
"Wilmington","DE",85
"Wilmington","NC",51
"Winfield","KS",8
"Winston-Salem","NC",34
"Winter Park","FL",12
"Wisconsin Rapids","WI",1
"Wixom","MI",1
"Wood River","IL",6
"Woodbridge","NJ",13
"Woodbury","NY",5
"Woodland Hills","CA",5
"Woodside","NY",5
"Woodstock","NY",11
"Woonsocket","RI",26
"Wooster","OH",5
"Worcester","MA",86
"Wrightstown","NJ",2
"Wrightsville","NC",1
"Wrightsville Beach","NC",6
"Wyandotte","MI",1
"Yachats","OR",4
"Yakima","WA",17
"Yankton","SD",3
"Ybor City","FL",6
"Yonkers","NY",17
"York","PA",53
"Yorktown","NY",5
"Yosemite","CA",12
"Youngstown","OH",96
"Ypsilanti","MI",13
"Yreka","CA",2
"Yuba City","CA",3
"Yuma","AZ",79
"Zebulon","KY",2
